46, 65, 68, 58, 44, 50
97, 35, 22, 75, 58, 71
50, 37, 40, 35, 29, 80
28, 68, 69, 14, 88, 77
19, 23, 40, 35, 70, 46
25, 15, 22, 39, 65, 98
41, 24, 89, 65, 25, 94
27, 53, 83, 88, 70, 28
82, 68, 55, 92, 48, 74
68, 91, 23, 66, 36, 74
72, 36, 42, 14, 43, 81
22, 54, 44, 66, 87, 85
64, 13, 71, 38, 43, 41
66, 24, 62, 26, 78, 17
82, 84, 38, 13, 19, 85
17, 60, 29, 89, 16, 90
42, 98, 96, 57, 23, 67
63, 21, 32, 60, 40, 36
44, 46, 88, 35, 64, 15
80, 39, 95, 56, 86, 45
29, 84, 22, 53, 17, 73
78, 76, 89, 27, 67, 63
84, 89, 72, 51, 39, 83
39, 24, 77, 94, 29, 12
29, 35, 65, 17, 47, 76
95, 97, 13, 16, 34, 51
