94, 13, 52, 74, 44, 81
78, 71, 62, 47, 65, 40
15, 13, 19, 84, 36, 18
62, 47, 40, 48, 66, 71
60, 20, 41, 52, 51, 44
82, 37, 64, 29, 69, 32
55, 41, 48, 56, 39, 61
12, 50, 92, 86, 62, 27
38, 46, 34, 69, 75, 72
19, 39, 86, 34, 82, 72
80, 39, 61, 88, 91, 52
85, 51, 83, 82, 22, 48
49, 73, 90, 21, 78, 29
37, 91, 67, 39, 84, 58
66, 48, 58, 89, 52, 72
34, 59, 98, 90, 61, 13
97, 80, 79, 69, 28, 63
51, 28, 50, 57, 84, 21
56, 87, 46, 20, 86, 58
73, 15, 69, 37, 86, 26
52, 60, 35, 30, 25, 85
58, 12, 77, 27, 17, 92
54, 41, 61, 37, 93, 14
15, 42, 61, 45, 26, 64
92, 73, 70, 12, 45, 96
16, 32, 29, 64, 87, 46
