86, 43, 50, 41, 87, 35
82, 80, 38, 63, 95, 11
88, 83, 80, 93, 17, 53
44, 20, 81, 28, 25, 83
41, 74, 45, 16, 75, 85
31, 57, 61, 60, 64, 58
23, 67, 50, 73, 27, 90
16, 37, 78, 95, 38, 79
49, 20, 38, 15, 16, 37
22, 17, 35, 82, 62, 65
34, 19, 92, 90, 99, 62
24, 92, 70, 91, 12, 63
62, 37, 97, 55, 72, 92
52, 11, 18, 87, 72, 83
95, 46, 52, 78, 67, 82
17, 42, 96, 33, 77, 48
63, 64, 55, 25, 29, 53
89, 24, 39, 69, 64, 72
89, 73, 68, 61, 75, 67
59, 46, 92, 24, 60, 93
29, 24, 73, 62, 87, 43
31, 50, 26, 95, 65, 21
15, 94, 43, 36, 62, 73
31, 58, 72, 37, 77, 18
20, 54, 69, 43, 56, 72
