15, 16, 69, 74, 76, 26
59, 94, 42, 85, 44, 99
95, 33, 70, 42, 48, 65
11, 51, 53, 45, 70, 71
58, 91, 37, 26, 42, 84
50, 60, 39, 79, 58, 90
77, 94, 14, 55, 13, 66
47, 59, 73, 15, 23, 28
26, 17, 61, 63, 98, 78
11, 78, 99, 88, 61, 51
71, 36, 53, 59, 72, 78
59, 85, 19, 69, 88, 47
17, 12, 84, 56, 91, 32
96, 47, 33, 26, 20, 58
84, 41, 78, 94, 45, 87
80, 19, 14, 84, 31, 60
17, 25, 57, 66, 96, 22
93, 42, 84, 97, 98, 70
36, 53, 76, 41, 88, 64
35, 17, 84, 15, 98, 65
12, 88, 66, 47, 64, 63
55, 25, 77, 96, 74, 23
74, 79, 75, 24, 16, 59
14, 75, 68, 31, 55, 36
35, 50, 52, 64, 34, 88
60, 12, 52, 62, 96, 93
26, 22, 24, 33, 27, 60
30, 39, 25, 55, 35, 97
