79, 16, 25, 29, 86, 20
57, 83, 44, 89, 97, 55
14, 45, 68, 78, 50, 46
82, 66, 49, 40, 15, 27
42, 31, 59, 16, 25, 85
49, 69, 33, 54, 14, 32
47, 73, 92, 60, 94, 90
38, 21, 41, 18, 62, 93
96, 72, 25, 67, 15, 13
76, 46, 25, 41, 35, 55
84, 54, 65, 46, 38, 61
83, 25, 46, 44, 99, 70
50, 14, 62, 71, 17, 29
49, 81, 54, 18, 40, 62
46, 91, 88, 57, 38, 96
40, 43, 33, 80, 65, 32
38, 45, 69, 32, 61, 35
25, 33, 72, 69, 26, 91
97, 77, 85, 55, 63, 30
89, 55, 76, 91, 41, 96
98, 21, 87, 88, 99, 85
92, 78, 47, 26, 21, 18
90, 94, 53, 84, 23, 25
15, 79, 58, 17, 53, 37
81, 82, 75, 37, 43, 64
49, 68, 42, 57, 48, 22
41, 40, 90, 92, 30, 94
85, 23, 22, 33, 21, 68
88, 80, 23, 53, 66, 13
