83, 87, 22, 23, 70, 20
87, 39, 56, 82, 27, 51
63, 33, 68, 28, 27, 31
59, 56, 58, 32, 97, 37
24, 91, 94, 13, 15, 88
68, 22, 23, 16, 42, 37
42, 29, 79, 49, 31, 94
35, 15, 27, 74, 14, 78
73, 54, 20, 36, 23, 52
44, 24, 59, 41, 66, 75
23, 83, 21, 74, 57, 22
80, 47, 37, 55, 81, 35
67, 25, 73, 93, 48, 84
16, 84, 58, 75, 89, 62
80, 13, 59, 88, 53, 72
82, 97, 83, 62, 51, 79
32, 39, 43, 80, 20, 83
11, 37, 26, 15, 72, 13
69, 42, 52, 83, 89, 12
69, 49, 47, 14, 15, 42
36, 85, 53, 29, 59, 94
90, 50, 44, 33, 85, 82
61, 76, 42, 65, 75, 36
93, 91, 23, 70, 33, 13
55, 61, 22, 38, 21, 43
54, 47, 57, 96, 85, 78
